"epigenome","chromatin_state","interval_n"
"E100","EnhA1",22791
"E100","EnhA2",34629
"E100","EnhBiv",2176
"E100","EnhG1",4539
"E100","EnhG2",333
"E100","EnhWk",85137
"E100","Het",46557
"E100","Quies",81874
"E100","ReprPC",5939
"E100","ReprPCWk",20330
"E100","TssA",18535
"E100","TssBiv",4635
"E100","TssFlnk",24355
"E100","TssFlnkD",9673
"E100","TssFlnkU",9856
"E100","Tx",14041
"E100","TxWk",94830
"E100","ZNF/Rpts",14649
"E108","EnhA1",39908
"E108","EnhA2",31976
"E108","EnhBiv",11076
"E108","EnhG1",14038
"E108","EnhG2",3714
"E108","EnhWk",100006
"E108","Het",20413
"E108","Quies",59365
"E108","ReprPC",22863
"E108","ReprPCWk",35307
"E108","TssA",24144
"E108","TssBiv",7557
"E108","TssFlnk",15490
"E108","TssFlnkD",27074
"E108","TssFlnkU",36266
"E108","Tx",32406
"E108","TxWk",95252
"E108","ZNF/Rpts",6893
