"module","main_context","pair_n","module_pair_total","within_module_percent"
"blue","TSS_overlap",1,8,12.5
"darkgreen","TSS_overlap",0,5,0
"greenyellow","TSS_overlap",1,11,9.09090909090909
"midnightblue","TSS_overlap",0,4,0
"pink","TSS_overlap",2,15,13.3333333333333
"red","TSS_overlap",0,4,0
"turquoise","TSS_overlap",0,16,0
"blue","first_exon",1,8,12.5
"darkgreen","first_exon",0,5,0
"greenyellow","first_exon",1,11,9.09090909090909
"midnightblue","first_exon",0,4,0
"pink","first_exon",0,15,0
"red","first_exon",0,4,0
"turquoise","first_exon",0,16,0
"blue","other_exon",0,8,0
"darkgreen","other_exon",0,5,0
"greenyellow","other_exon",0,11,0
"midnightblue","other_exon",0,4,0
"pink","other_exon",0,15,0
"red","other_exon",0,4,0
"turquoise","other_exon",0,16,0
"blue","intron",0,8,0
"darkgreen","intron",0,5,0
"greenyellow","intron",0,11,0
"midnightblue","intron",1,4,25
"pink","intron",0,15,0
"red","intron",0,4,0
"turquoise","intron",0,16,0
"blue","upstream_promoter",6,8,75
"darkgreen","upstream_promoter",5,5,100
"greenyellow","upstream_promoter",9,11,81.8181818181818
"midnightblue","upstream_promoter",3,4,75
"pink","upstream_promoter",13,15,86.6666666666667
"red","upstream_promoter",4,4,100
"turquoise","upstream_promoter",16,16,100
"blue","downstream_promoter",0,8,0
"darkgreen","downstream_promoter",0,5,0
"greenyellow","downstream_promoter",0,11,0
"midnightblue","downstream_promoter",0,4,0
"pink","downstream_promoter",0,15,0
"red","downstream_promoter",0,4,0
"turquoise","downstream_promoter",0,16,0
