"","AGE","SEX"
"MEdarkred",0.00393348109337425,0.045163978586178
"MEsalmon",0.00567669214993661,0.0409790259421329
"MEgrey60",2.21548655648786e-08,0.0619544023217208
"MEtan",4.93103683641566e-25,0.319294175142408
"MEviolet",2.23896163569305e-07,0.774083533571727
"MEbrown",1.18089605325753e-10,0.00109276748015856
"MEred",6.16733368591604e-25,0.155690679906131
"MEorange",2.46741884475024e-06,0.429818819900979
"MEblue",5.31740804065375e-10,0.00226299565584662
"MEyellow",0.0422327424967317,1.13287908693493e-05
"MElightgreen",0.00547787134617485,0.0131755031231172
"MEpurple",0.0254538513662172,0.940094598762585
"MEdarkgreen",0.00445367355682483,0.889752371390026
"MElightyellow",0.00139037255194664,0.893637349137155
"MElightcyan",3.07375951794448e-08,0.0340208253571645
"MEblack",0.0360608547984407,0.00176465808994965
"MEpink",8.67651047560824e-11,0.588430753783951
"MEgreenyellow",1.17507155877455e-30,0.116264712302104
"MEmidnightblue",6.7949169252987e-16,0.652963047381664
"MEdarkorange",0.000147376200228179,0.348783075678105
"MEdarkturquoise",1.10455837198266e-07,0.211584658397514
"MEsteelblue",2.47441765278051e-07,0.03704369586787
"MEdarkgrey",0.00451457289729907,0.916453723919276
"MEturquoise",4.8543001021689e-20,0.210705411075324
"MEsaddlebrown",0.679113131496403,0.66258704288484
"MEcyan",0.0111970132544037,0.253581483502923
"MEgreen",2.37306584381319e-06,0.0173818240555046
"MEmagenta",0.945989820513057,0.761202849548091
"MEpaleturquoise",0.308706000807393,0.121611309309883
"MEwhite",0.661636917074826,0.268262691175674
"MEroyalblue",0.287424370804216,0.414023990377069
"MEskyblue",0.118790991917848,0.238409868048311
"MEgrey",7.79236165983935e-22,0.85919309543324
