"module","module_gene_n","ERV_position_eligible_n","promoter_ERV_gene_n","promoter_ERV_percent","median_nearest_ERV_distance"
"black",629,629,158,25.1192368839428,3982
"blue",2499,2499,602,24.0896358543417,3742
"brown",1506,1506,333,22.1115537848606,4400.5
"cyan",329,329,104,31.6109422492401,2950
"darkgreen",119,119,23,19.327731092437,5739
"darkgrey",106,106,15,14.1509433962264,4849.5
"darkorange",104,104,27,25.9615384615385,4439.5
"darkred",119,119,44,36.9747899159664,2175
"darkturquoise",119,119,32,26.890756302521,4476
"green",740,740,173,23.3783783783784,3859
"greenyellow",445,445,109,24.4943820224719,3877
"grey",4658,4647,1251,26.9205939315688,3280
"grey60",207,204,59,28.921568627451,3113
"lightcyan",214,214,43,20.0934579439252,5277
"lightgreen",193,193,38,19.6891191709845,3073
"lightyellow",191,191,28,14.6596858638743,5292
"magenta",559,553,170,30.7414104882459,2667
"midnightblue",328,328,64,19.5121951219512,4891.5
"orange",106,106,22,20.7547169811321,5324
"paleturquoise",47,47,12,25.531914893617,2332
"pink",606,606,105,17.3267326732673,4884
"purple",487,487,69,14.1683778234086,3544
"red",630,630,129,20.4761904761905,4363.5
"royalblue",174,174,26,14.9425287356322,5973
"saddlebrown",72,72,20,27.7777777777778,3698.5
"salmon",335,335,90,26.865671641791,3425
"skyblue",75,75,17,22.6666666666667,3898
"steelblue",64,64,18,28.125,3743.5
"tan",411,400,77,19.25,3965.5
"turquoise",2608,2608,604,23.159509202454,3992.5
"violet",36,36,10,27.7777777777778,4558
"white",79,79,19,24.0506329113924,4141
"yellow",1205,1204,274,22.7574750830565,4093.5
