"module","ERV_family","module_gene_n","family_positive_gene_n","family_positive_percent","other_gene_n","other_family_positive_gene_n","other_family_positive_percent","odds_ratio","confidence_interval_low","confidence_interval_high","p_value","FDR","direction","result"
"red","ERVL-MaLR",630,51,8.09523809523809,19338,2177,11.2576274692316,0.694357364292254,0.50912552992237,0.929114537376656,0.0120290279854694,0.0842031958982856,"lower","not_significant"
"midnightblue","ERV1",328,19,5.79268292682927,19640,1941,9.88289205702648,0.560697493031063,0.332193437281105,0.893249035353027,0.0112863214433092,0.0842031958982856,"lower","not_significant"
"blue","ERVK",2499,9,0.360144057623049,17469,150,0.858663918942126,0.417337894508496,0.186930902415477,0.815112962680876,0.00755343100702393,0.0842031958982856,"lower","not_significant"
"pink","ERV1",606,40,6.6006600660066,19362,1920,9.91633095754571,0.642017746007779,0.452185401032049,0.888866740559096,0.00548340203004572,0.0842031958982856,"lower","not_significant"
"red","ERVL",630,22,3.49206349206349,19338,1087,5.6210569862447,0.607523735907632,0.376268945847599,0.93337054756981,0.0210790851677336,0.118042876939308,"lower","not_significant"
"pink","ERVL-MaLR",606,53,8.74587458745875,19362,2175,11.2333436628447,0.757350980854374,0.558223604872353,1.00906171693067,0.0572475640634431,0.267155298962734,"lower","not_significant"
"greenyellow","ERVL-MaLR",445,61,13.7078651685393,19523,2167,11.0997285253291,1.27228183145638,0.951100947907229,1.67731774618132,0.0933641564299122,0.373456625719649,"higher","not_significant"
"darkgreen","ERV1",119,7,5.88235294117647,19849,1953,9.83928661393521,0.572721683641634,0.224781837825412,1.22186088186253,0.165597451579397,0.483729036531521,"lower","not_significant"
"darkgreen","ERVL",119,3,2.52100840336134,19849,1106,5.57206912187012,0.438288307428572,0.088945046849996,1.31649350593979,0.222677767526138,0.483729036531521,"lower","not_significant"
"turquoise","ERVL",2608,131,5.02300613496933,17360,978,5.63364055299539,0.885894337824424,0.72891894626642,1.06962927862259,0.215753777430465,0.483729036531521,"lower","not_significant"
"midnightblue","ERVL-MaLR",328,29,8.84146341463415,19640,2199,11.1965376782077,0.76926900426771,0.505061551126826,1.13138700113458,0.214917742790431,0.483729036531521,"lower","not_significant"
"blue","ERVL",2499,152,6.08243297318928,17469,957,5.47827580285076,1.11745501995704,0.93031277480243,1.33495163645154,0.224588481246778,0.483729036531521,"higher","not_significant"
"pink","ERVL",606,26,4.29042904290429,19362,1083,5.59343043074063,0.756597964446998,0.487703114761926,1.12654228600717,0.206231999222334,0.483729036531521,"lower","not_significant"
"darkgreen","ERVK",119,2,1.68067226890756,19849,157,0.79097183737216,2.14396045058484,0.254389777181519,8.04872448052346,0.244813822755342,0.489627645510684,"higher","not_significant"
"red","ERVK",630,7,1.11111111111111,19338,152,0.786017168269728,1.41819301524086,0.558329525486441,3.01147803751278,0.35557147382924,0.663733417814581,"higher","not_significant"
"turquoise","ERVL-MaLR",2608,278,10.659509202454,17360,1950,11.2327188940092,0.942857978068359,0.822444294136877,1.07803066581226,0.404403324230776,0.707705817403858,"lower","not_significant"
"greenyellow","ERVL",445,28,6.29213483146067,19523,1081,5.53705885365979,1.14551524550957,0.7482269177686,1.68999211651551,0.463843845047198,0.724646291173132,"higher","not_significant"
"midnightblue","ERVL",328,21,6.40243902439024,19640,1088,5.53971486761711,1.16637662631121,0.708657297402985,1.82439481462341,0.465844044325585,0.724646291173132,"higher","not_significant"
"greenyellow","ERV1",445,39,8.76404494382022,19523,1921,9.83967627926036,0.880172579340337,0.614646059265931,1.22900125370554,0.518834500121251,0.726368300169751,"lower","not_significant"
"blue","ERVL-MaLR",2499,289,11.5646258503401,17469,1939,11.0996622588585,1.04737215216682,0.91516597028666,1.19553727957911,0.496918131175871,0.726368300169751,"higher","not_significant"
"turquoise","ERV1",2608,249,9.54754601226994,17360,1711,9.85599078341014,0.965394853698835,0.835999120206689,1.11136376134479,0.64640590342389,0.822698422539497,"lower","not_significant"
"blue","ERV1",2499,252,10.0840336134454,17469,1708,9.77731982368768,1.03489043895021,0.89652151969238,1.19093902443684,0.640291010301949,0.822698422539497,"higher","not_significant"
"red","ERV1",630,64,10.1587301587302,19338,1896,9.80452994104871,1.04021780112169,0.78690393696542,1.35534513173962,0.734067934114769,0.863519613562309,"higher","not_significant"
"darkgreen","ERVL-MaLR",119,14,11.7647058823529,19849,2214,11.1542143181017,1.06204499320549,0.560347559178087,1.8664823548265,0.770999654966347,0.863519613562309,"higher","not_significant"
"midnightblue","ERVK",328,3,0.914634146341463,19640,156,0.794297352342159,1.15288918424123,0.233970135825364,3.46216569523632,0.747728046697963,0.863519613562309,"higher","not_significant"
"pink","ERVK",606,5,0.825082508250825,19362,154,0.795372378886479,1.03767673706981,0.330994412692643,2.48788391538839,0.816330025112783,0.879124642429151,"higher","not_significant"
"greenyellow","ERVK",445,3,0.674157303370786,19523,156,0.799057521897249,0.842635938137792,0.171237092930859,2.52455432725277,1,1,"lower","not_significant"
"turquoise","ERVK",2608,20,0.766871165644172,17360,139,0.800691244239631,0.957432876374719,0.566210173550685,1.53955563956704,1,1,"lower","not_significant"
